# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	2003
#@/user_id	e778cdc0-6bca-4148-ae83-6766ddb9099d
a 	啊	c=5 d=2.59854 t=2003
hen da de 	很大的	c=0 d=0.0571209 t=2003
hen da de yi yi 	很大的意義	c=1 d=0.574072 t=2003
hong xing 	紅星	c=1 d=0.0833256 t=2003
hou 	後	c=0 d=0.020089 t=2003
hou tai 	後臺	c=1 d=0.869358 t=2003
hou xuan ci 	後選詞	c=1 d=0.201897 t=2003
hu 	虎	c=1 d=0.647265 t=2003
hua 	化	c=1 d=0.414783 t=2003
hua ci 	畫詞	c=1 d=1 t=1978
huan jing 	環境	c=1 d=0.718924 t=2003
huan kuan 	還款	c=0 d=0.00587185 t=2003
huan qu 	換區	c=1 d=0.774916 t=2003
huan qu 	換取	c=1 d=0.771052 t=2003
hui 	會	c=2 d=0.579842 t=2003
hui che 	回車	c=1 d=0.185444 t=2003
hui qu 	回去	c=0 d=0.00930145 t=2003
hui qu la 	回去啦	c=1 d=0.0934807 t=2003
huo beng luan tiao 	活蹦亂跳	c=1 d=0.126186 t=2003
huo de 	獲得	c=1 d=0.557106 t=2003
huo qu 	獲取	c=1 d=0.873716 t=2003
ji 	積	c=0 d=0.0980199 t=2003
ji 	記	c=0 d=0.0353455 t=2003
ji ben 	基本	c=0 d=0.0139457 t=2003
ji ben shi yong 	基本使用	c=1 d=0.140156 t=2003
ji chu 	基礎	c=2 d=1.30846 t=2003
ji chu bian ji qi 	基礎編輯器	c=1 d=0.810584 t=2003
ji chu jie xi 	基礎解析	c=1 d=0.774916 t=2003
ji fen 	積分	c=2 d=1.1909 t=2003
ji fen de 	積分的	c=1 d=0.250324 t=2003
ji he 	幾何	c=1 d=0.287941 t=2003
ji huo 	激活	c=1 d=0.311923 t=2003
ji ji 	積極	c=1 d=0.0640824 t=2003
ji lu 	記錄	c=0 d=0.0237343 t=2003
ji lu sheng huo 	記錄生活	c=1 d=0.109154 t=2003
ji lu wo de sheng huo 	記錄我的生活	c=1 d=0.12938 t=2003
ji qi 	機器	c=0 d=0.022091 t=2003
ji qi xue xi 	機器學習	c=1 d=0.222017 t=2003
ji qiao 	技巧	c=1 d=0.852144 t=2003
ji shu 	技術	c=2 d=0.403974 t=2003
ji suan ji 	計算機	c=1 d=0.185168 t=2003
ji suan ji shi jue 	計算機視覺	c=1 d=0.166127 t=2003
ji tian 	幾天	c=1 d=0.0492917 t=2003
ji yi 	記憶	c=0 d=0.0071719 t=2003
ji yi de ben zhi 	記憶的本質	c=1 d=0.0720785 t=2003
ji yu 	基於	c=1 d=0.970446 t=2003
ji zhan 	激戰	c=1 d=0.57695 t=2003
ji zuo 	記作	c=1 d=0.814647 t=2003
jia bi 	假幣	c=0 d=0.0932394 t=2003
jia bi wen ti 	假幣問題	c=4 d=3.90233 t=2003
jia da long 	佳達隆	c=1 d=0.0808629 t=2003
jia ge 	價格	c=1 d=0.23457 t=2003
jia gou 	架構	c=0 d=0.0207008 t=2003
jia gou tu 	架構圖	c=1 d=0.208045 t=2003
jia ni 	家你	c=1 d=0.818731 t=2003
jia quan 	加權	c=2 d=1.21013 t=2003
jia quan 	甲醛	c=1 d=0.588605 t=2003
jia ru 	加入	c=1 d=0.697676 t=2003
jia shang 	加上	c=1 d=0.794534 t=2003
jian 	劍	c=1 d=0.40657 t=2003
jian 	鍵	c=4 d=2.753 t=2003
jian biao 	見表	c=1 d=0.244143 t=2003
jian ce 	檢測	c=1 d=0.225174 t=2003
jian cha 	檢查	c=1 d=0.748264 t=2003
jian guo 	堅果	c=3 d=1.66714 t=2003
jian guo yun 	堅果雲	c=1 d=0.535261 t=2003
jian jin 	漸進	c=0 d=0.0618783 t=2003
jian jin biao da shi 	漸進表達式	c=1 d=0.621885 t=2003
jian qie 	剪切	c=0 d=0.0847894 t=2003
jian qie ban 	剪切板	c=1 d=0.852144 t=2003
jian ting 	監聽	c=1 d=0.856415 t=2003
jian wei 	鍵位	c=3 d=1.86658 t=2003
jian yi 	建議	c=1 d=0.860708 t=2003
jian ying 	簡影	c=1 d=0.740818 t=2003
jian zhi fa 	減治法	c=3 d=2.92688 t=2003
jiang 	將	c=3 d=1.15088 t=2003
jiang nan 	江南	c=1 d=0.579842 t=2003
jiao ben 	腳本	c=2 d=1.04396 t=2003
jiao cheng 	教程	c=0 d=0.026054 t=2003
jiao du kan 	角度看	c=1 d=0.0235177 t=2003
jiao fu 	教父	c=2 d=1.99501 t=2003
jiao guo 	教過	c=1 d=0.346456 t=2003
jiao shen me 	叫什麼	c=0 d=0.00765355 t=2003
jiao yu bu 	教育部	c=1 d=0.0824965 t=2003
jiao zhu 	校注	c=2 d=0.139704 t=2003
jie 	傑	c=0 d=0.0562705 t=2003
jie gou 	結構	c=3 d=0.448951 t=2003
jie guo 	結果	c=1 d=0.307279 t=2003
jie he 	結合	c=1 d=0.382893 t=2003
jie jue 	解決	c=0 d=0.0380983 t=2003
jie jue le 	解決了	c=1 d=0.382893 t=2003
jie jue wen ti 	解決問題	c=0 d=0.00403566 t=2003
jie jue wen ti de guan jian 	解決問題的關鍵	c=1 d=0.0405589 t=2003
jie mian 	界面	c=1 d=0.960789 t=2003
jie ping 	截屏	c=1 d=0.895834 t=2003
jie shao 	介紹	c=2 d=0.743906 t=2003
jie tiao qi 	解調器	c=1 d=0.214381 t=2003
jie xi 	解析	c=1 d=0.746507 t=2003
jie ya 	解壓	c=3 d=2.40158 t=2003
jie ya dao 	解壓到	c=1 d=0.88692 t=2003
jin 	近	c=1 d=0.173774 t=2003
jin cheng 	進程	c=1 d=0.0314298 t=2003
jin er 	進而	c=1 d=0.0219278 t=2003
jin guan 	儘管	c=1 d=0.814647 t=2003
jing 	靜	c=1 d=1 t=2003
jing chang 	經常	c=1 d=1 t=1934
jing dong 	京東	c=1 d=0.0642682 t=2003
jing dong bai tiao 	京東白條	c=1 d=0.0587185 t=2003
jing hai 	靜海	c=1 d=0.276901 t=2003
jing hai qu 	靜海區	c=1 d=0.606531 t=2003
jing hai qu 	靜海去	c=1 d=0.603506 t=2003
