# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.8.4
#@/tick	8092
#@/user_id	Linux
ggpg 	一定	c=1 d=0.0608101 t=8092
ggrq 	替换	c=2 d=0.0159593 t=8092
ggrt 	一手	c=1 d=6.62839e-16 t=8092
ggte 	一笔	c=2 d=1.96531 t=8092
ggte 	五笔	c=26 d=10.2991 t=8092
ggth 	一段	c=1 d=0.268474 t=8092
ggtk 	一种	c=6 d=0.608179 t=8092
ggtv 	五筆	c=1 d=0.814647 t=8092
ggwh 	一个	c=14 d=4.31693 t=8092
ggyn 	一遍	c=1 d=2.28856e-05 t=8092
gh 	下	c=12 d=3.608 t=8092
ghd 	正	c=1 d=0.588605 t=8092
ghfa 	下载	c=52 d=5.47451 t=8092
ghip 	正常	c=1 d=0.494109 t=8092
ghme 	正骨	c=1 d=0.88692 t=8092
ghrq 	下的	c=1 d=0.133989 t=8092
ghth 	正版	c=1 d=1.3138e-05 t=8092
ghws 	正体	c=1 d=0.878095 t=8092
ghyy 	正文	c=1 d=0.909373 t=8092
gi 	求	c=1 d=0.806541 t=8092
giyi 	求	c=1 d=0.187308 t=8092
gj 	理	c=2 d=0.0562101 t=8092
gjek 	更加	c=3 d=0.629771 t=8092
gjf 	理	c=1 d=0.501576 t=8092
gjmf 	理财	c=1 d=0.0259911 t=8092
gjnt 	更改	c=1 d=0.463013 t=8092
gjrq 	更换	c=1 d=0.600496 t=8092
gjus 	更新	c=9 d=2.4707 t=8092
gjvb 	更好	c=1 d=0.000140543 t=8092
gk 	事	c=2 d=0.869367 t=8092
gkde 	带有	c=1 d=0.00532682 t=8092
gkkg 	逗号	c=1 d=0.869358 t=8092
gklp 	逼	c=1 d=0.0150708 t=8092
gku 	豆	c=4 d=1.73196 t=8092
gkur 	豆瓣	c=2 d=0.0199039 t=8092
gkwg 	融合	c=3 d=0.0151942 t=8092
gkwt 	事件	c=3 d=0.86051 t=8092
glbj 	画	c=1 d=0.687289 t=8092
glsr 	画板	c=1 d=0.0128425 t=8092
gm 	现	c=1 d=0.0550232 t=8092
gmap 	遭	c=1 d=0.251579 t=8092
gmdh 	现在	c=3 d=0.615697 t=8092
gmf 	再	c=1 d=1.00882e-15 t=8092
gmtk 	两种	c=2 d=0.0801614 t=8092
gmwa 	现代	c=1 d=0.0244775 t=8092
gmwh 	两个	c=1 d=0.474734 t=8092
