# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
che dao jian ce 	車道檢測	c=1 d=0.145148 t=5035
che ju 	車距	c=1 d=1 t=5035
che ju jian ce 	車據檢測	c=1 d=0.985112 t=5035
che wei 	車位	c=1 d=0.66034 t=5035
chen 	沉	c=0 d=0.0737123 t=5035
chen mi 	沉迷	c=0 d=0.0310367 t=5035
chen mi xue xi 	沉迷學習	c=1 d=0.311923 t=5035
chen zhou ce pan qian fan guo 	沉舟側畔千帆過	c=2 d=1.48908 t=5035
cheng 	乘	c=1 d=0.618783 t=5035
cheng 	成	c=3 d=0.509156 t=5035
cheng 	撐	c=0 d=0.00536647 t=5035
cheng 	橙	c=1 d=0.202909 t=5035
cheng gong 	成功	c=2 d=0.023493 t=5035
cheng jiu 	成就	c=1 d=0.946485 t=5035
cheng le 	成了	c=0 d=0.00343896 t=5035
cheng shi 	城市	c=1 d=0.88692 t=5035
cheng xu 	程序	c=2 d=0.69435 t=5035
chi 	吃	c=1 d=0.562705 t=5035
chi bu 	吃不	c=0 d=0.00536647 t=5035
chi bu cheng 	吃不撐	c=1 d=0.0539337 t=5035
chi hua 	池化	c=1 d=0.353887 t=5035
chong 	充	c=1 d=0.360595 t=5035
chong fu 	重複	c=3 d=1.40012 t=5035
chong gou 	重構	c=1 d=0.918512 t=5035
chong he 	重合	c=0 d=0.0501576 t=5035
chong he le 	重合了	c=1 d=0.50409 t=5035
chong qian 	衝錢	c=1 d=0.353455 t=5035
chong zhi 	充值	c=2 d=0.635431 t=5035
chong zhuang 	重裝	c=1 d=0.298197 t=5035
chou chu man zhi 	躊躇滿志	c=1 d=0.551563 t=5035
chou mi 	稠密	c=1 d=0.831104 t=5035
chu 	出	c=3 d=0.443263 t=5035
chu 	楚	c=2 d=1.99005 t=4905
chu 	處	c=1 d=0.315058 t=5035
chu 	除	c=1 d=0.316637 t=5035
chu ci zhi wai 	除此之外	c=1 d=0.126186 t=5035
